run,time_total_seconds,size_download_bytes,throughput_bps
1,0.3971,255,642.16,0.0051
2,0.2675,255,953.27,0.0076
3,0.2419,255,1054.15,0.0084
4,0.2477,255,1029.47,0.0082
5,0.2373,255,1074.59,0.0086
6,0.3943,255,646.72,0.0052
7,0.2550,255,1000.00,0.0080
8,0.2324,255,1097.25,0.0088
9,0.2914,255,875.09,0.0070
10,0.2289,255,1114.02,0.0089
11,0.2150,255,1186.05,0.0095
12,0.2249,255,1133.84,0.0091
13,0.2454,255,1039.12,0.0083
14,0.3519,255,724.64,0.0058
15,0.2640,255,965.91,0.0077
16,0.2252,255,1132.33,0.0091
17,0.2280,255,1118.42,0.0089
18,0.2578,255,989.14,0.0079
19,0.2397,255,1063.83,0.0085
20,0.3989,255,639.26,0.0051
21,0.2460,255,1036.59,0.0083
22,0.2942,255,866.76,0.0069
23,0.4432,255,575.36,0.0046
24,0.2364,255,1078.68,0.0086
25,0.2350,255,1085.11,0.0087
26,0.2680,255,951.49,0.0076
27,0.2410,255,1058.09,0.0085
28,0.2469,255,1032.81,0.0083
29,0.2450,255,1040.82,0.0083
30,0.3442,255,740.85,0.0059
31,0.2521,255,1011.50,0.0081
32,0.2436,255,1046.80,0.0084
33,0.3934,255,648.20,0.0052
34,0.2793,255,913.00,0.0073
35,0.2470,255,1032.39,0.0083
36,0.3981,255,640.54,0.0051
37,0.2687,255,949.01,0.0076
38,0.2616,255,974.77,0.0078
39,0.2365,255,1078.22,0.0086
40,0.2335,255,1092.08,0.0087
41,0.2317,255,1100.56,0.0088
42,0.2541,255,1003.54,0.0080
43,0.3886,255,656.20,0.0052
44,0.2462,255,1035.74,0.0083
45,0.2790,255,913.98,0.0073
46,0.2824,255,902.97,0.0072
47,0.2357,255,1081.88,0.0087
48,0.2258,255,1129.32,0.0090
49,0.7453,255,342.14,0.0027
50,0.2626,255,971.06,0.0078
51,0.2296,255,1110.63,0.0089
52,0.2358,255,1081.42,0.0087
53,0.2414,255,1056.34,0.0085
54,0.2523,255,1010.70,0.0081
55,0.2722,255,936.81,0.0075
56,0.2386,255,1068.73,0.0085
57,0.2367,255,1077.31,0.0086
58,0.2499,255,1020.41,0.0082
59,0.2699,255,944.79,0.0076
60,0.2285,255,1115.97,0.0089
61,0.2336,255,1091.61,0.0087
62,0.2346,255,1086.96,0.0087
