run,latency_s,bytes,throughput_bps
1,0.2594,512,1973.79
2,0.2958,512,1730.90
3,0.2713,512,1887.21
4,0.3062,512,1672.11
5,0.2446,512,2093.21
6,0.2446,512,2093.21
7,0.2653,512,1929.89
8,0.2481,512,2063.68
9,0.2289,512,2236.78
10,0.2219,512,2307.35
11,0.2280,512,2245.61
12,0.2241,512,2284.69
13,0.2275,512,2250.55
14,0.2540,512,2015.75
15,0.5646,512,906.84
16,0.2258,512,2267.49
17,0.2278,512,2247.59
18,0.2442,512,2096.64
19,0.2617,512,1956.44
20,0.2231,512,2294.94
21,0.2093,512,2446.25
22,0.2100,512,2438.10
23,0.2280,512,2245.61
24,0.2329,512,2198.37
25,0.2532,512,2022.12
26,0.2697,512,1898.41
27,0.2409,512,2125.36
28,0.2251,512,2274.54
29,0.2133,512,2400.38
30,0.2180,512,2348.62
31,0.2408,512,2126.25
32,0.2312,512,2214.53
33,0.2226,512,2300.09
34,0.2141,512,2391.41
35,0.2130,512,2403.76
36,0.2160,512,2370.37
37,0.2405,512,2128.90
38,0.2591,512,1976.07
39,0.2250,512,2275.56
40,0.2109,512,2427.69
41,0.2538,512,2017.34
42,0.2380,512,2151.26
43,0.3178,512,1611.08
44,0.2710,512,1889.30
45,0.2531,512,2022.92
46,0.2593,512,1974.55
47,0.2698,512,1897.70
48,0.3110,512,1646.30
49,0.3982,512,1285.79
50,0.2690,512,1903.35
