run,time_total_seconds,size_download_bytes,throughput_bps
1,0.2277,255,1119.89,0.0090
2,0.2170,255,1175.12,0.0094
3,0.2474,255,1030.72,0.0082
4,0.2584,255,986.84,0.0079
5,0.2528,255,1008.70,0.0081
6,0.2549,255,1000.39,0.0080
7,0.2361,255,1080.05,0.0086
8,0.2534,255,1006.31,0.0081
9,0.2097,255,1216.02,0.0097
10,0.2170,255,1175.12,0.0094
11,0.2304,255,1106.77,0.0089
12,0.2320,255,1099.14,0.0088
13,0.3140,255,812.10,0.0065
14,0.2716,255,938.88,0.0075
15,0.2449,255,1041.24,0.0083
16,0.2451,255,1040.39,0.0083
17,0.2714,255,939.57,0.0075
18,0.2440,255,1045.08,0.0084
19,0.2370,255,1075.95,0.0086
20,0.2388,255,1067.84,0.0085
21,0.2626,255,971.06,0.0078
22,0.2485,255,1026.16,0.0082
23,0.2425,255,1051.55,0.0084
24,0.2311,255,1103.42,0.0088
25,0.2220,255,1148.65,0.0092
26,0.2485,255,1026.16,0.0082
27,0.2227,255,1145.04,0.0092
28,0.2185,255,1167.05,0.0093
29,0.2259,255,1128.82,0.0090
30,0.2436,255,1046.80,0.0084
31,0.2591,255,984.18,0.0079
32,0.2241,255,1137.88,0.0091
33,0.2233,255,1141.96,0.0091
34,0.2245,255,1135.86,0.0091
35,0.2728,255,934.75,0.0075
36,0.2287,255,1115.00,0.0089
37,0.2206,255,1155.94,0.0092
38,0.2213,255,1152.28,0.0092
39,0.6102,255,417.90,0.0033
40,0.2199,255,1159.62,0.0093
41,0.2411,255,1057.65,0.0085
42,0.2379,255,1071.88,0.0086
43,0.2196,255,1161.20,0.0093
44,0.2624,255,971.80,0.0078
45,0.2282,255,1117.44,0.0089
46,0.2294,255,1111.60,0.0089
47,0.2182,255,1168.65,0.0093
48,0.2083,255,1224.20,0.0098
49,0.2706,255,942.35,0.0075
50,0.2322,255,1098.19,0.0088
51,0.2178,255,1170.80,0.0094
52,0.2275,255,1120.88,0.0090
53,0.2264,255,1126.33,0.0090
54,0.2464,255,1034.90,0.0083
55,0.2196,255,1161.20,0.0093
56,0.2197,255,1160.67,0.0093
57,0.2210,255,1153.85,0.0092
58,0.2523,255,1010.70,0.0081
59,0.2400,255,1062.50,0.0085
60,0.2258,255,1129.32,0.0090
61,0.2217,255,1150.20,0.0092
62,0.2319,255,1099.61,0.0088
63,0.2468,255,1033.23,0.0083
64,0.2394,255,1065.16,0.0085
65,0.2279,255,1118.91,0.0090
66,0.2405,255,1060.29,0.0085
67,0.2251,255,1132.83,0.0091
68,0.2384,255,1069.63,0.0086
69,0.2349,255,1085.57,0.0087
70,0.2240,255,1138.39,0.0091
71,0.2254,255,1131.32,0.0091
72,0.2537,255,1005.12,0.0080
73,0.2222,255,1147.61,0.0092
74,0.2244,255,1136.36,0.0091
75,0.2231,255,1142.99,0.0091
76,0.2204,255,1156.99,0.0093
77,0.2446,255,1042.52,0.0083
78,0.2406,255,1059.85,0.0085
79,0.2291,255,1113.05,0.0089
80,0.4211,255,605.56,0.0048
81,0.2600,255,980.77,0.0078
82,0.2249,255,1133.84,0.0091
83,0.2368,255,1076.86,0.0086
84,0.2262,255,1127.32,0.0090
85,0.2425,255,1051.55,0.0084
86,0.2543,255,1002.75,0.0080
87,0.2272,255,1122.36,0.0090
88,0.2256,255,1130.32,0.0090
89,0.2264,255,1126.33,0.0090
90,0.2322,255,1098.19,0.0088
91,0.2362,255,1079.59,0.0086
92,0.2250,255,1133.33,0.0091
93,0.2165,255,1177.83,0.0094
94,0.2279,255,1118.91,0.0090
95,0.2448,255,1041.67,0.0083
96,0.2231,255,1142.99,0.0091
97,0.2211,255,1153.32,0.0092
98,0.2238,255,1139.41,0.0091
99,0.2211,255,1153.32,0.0092
100,0.2468,255,1033.23,0.0083
101,0.2225,255,1146.07,0.0092
102,0.2248,255,1134.34,0.0091
103,0.2205,255,1156.46,0.0093
104,0.2447,255,1042.09,0.0083
105,0.2492,255,1023.27,0.0082
106,0.2337,255,1091.14,0.0087
107,0.2305,255,1106.29,0.0089
108,0.2241,255,1137.88,0.0091
109,0.2286,255,1115.49,0.0089
110,0.2430,255,1049.38,0.0084
111,0.2345,255,1087.42,0.0087
112,0.2164,255,1178.37,0.0094
113,0.2446,255,1042.52,0.0083
114,0.2772,255,919.91,0.0074
115,0.2273,255,1121.87,0.0090
116,0.2227,255,1145.04,0.0092
117,0.2208,255,1154.89,0.0092
118,0.2316,255,1101.04,0.0088
119,0.2522,255,1011.10,0.0081
120,0.2221,255,1148.13,0.0092
121,0.2798,255,911.37,0.0073
122,0.2199,255,1159.62,0.0093
123,0.2483,255,1026.98,0.0082
124,0.2394,255,1065.16,0.0085
125,0.2186,255,1166.51,0.0093
126,0.2200,255,1159.09,0.0093
127,0.2194,255,1162.26,0.0093
128,0.2364,255,1078.68,0.0086
129,0.2152,255,1184.94,0.0095
130,0.2206,255,1155.94,0.0092
131,0.2432,255,1048.52,0.0084
132,0.2331,255,1093.95,0.0088
133,0.2355,255,1082.80,0.0087
134,0.2219,255,1149.17,0.0092
135,0.2241,255,1137.88,0.0091
136,0.2256,255,1130.32,0.0090
137,0.2218,255,1149.68,0.0092
138,0.2412,255,1057.21,0.0085
139,0.2321,255,1098.66,0.0088
140,0.2280,255,1118.42,0.0089
141,0.2246,255,1135.35,0.0091
142,0.2287,255,1115.00,0.0089
143,0.2476,255,1029.89,0.0082
144,0.2252,255,1132.33,0.0091
145,0.2231,255,1142.99,0.0091
146,0.2246,255,1135.35,0.0091
147,0.2362,255,1079.59,0.0086
148,0.2458,255,1037.43,0.0083
149,0.2258,255,1129.32,0.0090
150,0.2357,255,1081.88,0.0087
151,0.3207,255,795.14,0.0064
152,0.2529,255,1008.30,0.0081
153,0.2288,255,1114.51,0.0089
154,0.2180,255,1169.72,0.0094
155,0.2223,255,1147.10,0.0092
156,0.2177,255,1171.34,0.0094
157,0.2469,255,1032.81,0.0083
158,0.2286,255,1115.49,0.0089
159,0.2586,255,986.08,0.0079
160,0.2561,255,995.70,0.0080
