run,latency_s,bytes,throughput_bps
1,0.2288,512,2237.76
2,0.2209,512,2317.79
3,0.2587,512,1979.13
4,0.2388,512,2144.05
5,0.2399,512,2134.22
6,0.2174,512,2355.11
7,0.2442,512,2096.64
8,0.2126,512,2408.28
9,0.2193,512,2334.70
10,0.2967,512,1725.65
11,0.2477,512,2067.02
12,0.2505,512,2043.91
13,0.2131,512,2402.63
14,0.2154,512,2376.97
15,0.2138,512,2394.76
16,0.2438,512,2100.08
17,0.2454,512,2086.39
18,0.2207,512,2319.89
19,0.2248,512,2277.58
20,0.2228,512,2298.03
21,0.2120,512,2415.09
22,0.2940,512,1741.50
23,0.2525,512,2027.72
24,0.2365,512,2164.90
25,0.2219,512,2307.35
26,0.2194,512,2333.64
27,0.2179,512,2349.70
28,0.2348,512,2180.58
29,0.2409,512,2125.36
30,0.2200,512,2327.27
31,0.2203,512,2324.10
32,0.2177,512,2351.86
33,0.2223,512,2303.19
34,0.2172,512,2357.27
35,0.2497,512,2050.46
36,0.2357,512,2172.25
37,0.2184,512,2344.32
38,0.2278,512,2247.59
39,0.2185,512,2343.25
40,0.2210,512,2316.74
41,0.2395,512,2137.79
42,0.2295,512,2230.94
43,0.2196,512,2331.51
44,0.2252,512,2273.53
45,0.2230,512,2295.96
46,0.2150,512,2381.40
47,0.2513,512,2037.41
48,0.2434,512,2103.53
49,0.2226,512,2300.09
50,0.2107,512,2430.00
