run,latency_s,bytes,throughput_bps
1,0.2118,512,2417.37
2,0.2229,512,2296.99
3,0.2319,512,2207.85
4,0.2469,512,2073.71
5,0.2238,512,2287.76
6,0.2120,512,2415.09
7,0.2464,512,2077.92
8,0.2106,512,2431.15
9,0.2283,512,2242.66
10,0.2721,512,1881.66
11,0.2326,512,2201.20
12,0.2110,512,2426.54
13,0.2232,512,2293.91
14,0.2161,512,2369.27
15,0.2155,512,2375.87
16,0.2338,512,2189.91
17,0.2431,512,2106.13
18,0.2270,512,2255.51
19,0.2365,512,2164.90
20,0.2255,512,2270.51
21,0.2160,512,2370.37
22,0.2260,512,2265.49
23,0.2450,512,2089.80
24,0.2242,512,2283.68
25,0.2164,512,2365.99
26,0.2291,512,2234.83
27,0.2243,512,2282.66
28,0.2157,512,2373.67
29,0.2388,512,2144.05
30,0.5688,512,900.14
31,0.2200,512,2327.27
32,0.2201,512,2326.22
33,0.2175,512,2354.02
34,0.2588,512,1978.36
35,0.2373,512,2157.61
36,0.2234,512,2291.85
37,0.2102,512,2435.78
38,0.2175,512,2354.02
39,0.2336,512,2191.78
40,0.2486,512,2059.53
41,0.2370,512,2160.34
42,0.2165,512,2364.90
43,0.2164,512,2365.99
44,0.2146,512,2385.83
45,0.2172,512,2357.27
46,0.2098,512,2440.42
47,0.2411,512,2123.60
48,0.2321,512,2205.95
49,0.2188,512,2340.04
50,0.2381,512,2150.36
