run,time_total_seconds,size_download_bytes,throughput_bps
1,0.3104,255,821.52,0.0066
2,0.2128,255,1198.31,0.0096
3,0.5929,255,430.09,0.0034
4,0.2444,255,1043.37,0.0083
5,0.2263,255,1126.82,0.0090
6,0.2246,255,1135.35,0.0091
7,0.2116,255,1205.10,0.0096
8,0.2380,255,1071.43,0.0086
9,0.2477,255,1029.47,0.0082
10,0.2313,255,1102.46,0.0088
11,0.2271,255,1122.85,0.0090
12,0.2214,255,1151.76,0.0092
13,0.2459,255,1037.01,0.0083
14,0.2263,255,1126.82,0.0090
15,0.2081,255,1225.37,0.0098
16,0.2158,255,1181.65,0.0095
17,0.2176,255,1171.88,0.0094
18,0.2621,255,972.91,0.0078
19,0.2237,255,1139.92,0.0091
20,0.2247,255,1134.85,0.0091
21,0.2225,255,1146.07,0.0092
22,0.2223,255,1147.10,0.0092
23,0.2387,255,1068.29,0.0085
24,0.2197,255,1160.67,0.0093
25,0.2203,255,1157.51,0.0093
26,0.2286,255,1115.49,0.0089
27,0.2331,255,1093.95,0.0088
28,0.2703,255,943.40,0.0075
29,0.2307,255,1105.33,0.0088
30,0.2232,255,1142.47,0.0091
31,0.2241,255,1137.88,0.0091
32,0.2393,255,1065.61,0.0085
33,0.2289,255,1114.02,0.0089
34,0.2234,255,1141.45,0.0091
35,0.2274,255,1121.37,0.0090
36,0.2263,255,1126.82,0.0090
37,0.2845,255,896.31,0.0072
38,0.2263,255,1126.82,0.0090
39,0.2408,255,1058.97,0.0085
40,0.2724,255,936.12,0.0075
41,0.2859,255,891.92,0.0071
42,0.2417,255,1055.03,0.0084
43,0.2375,255,1073.68,0.0086
44,0.3890,255,655.53,0.0052
45,0.3145,255,810.81,0.0065
46,0.2384,255,1069.63,0.0086
47,0.2465,255,1034.48,0.0083
48,0.2194,255,1162.26,0.0093
49,0.2473,255,1031.14,0.0082
50,0.2445,255,1042.94,0.0083
51,0.2333,255,1093.01,0.0087
52,0.2756,255,925.25,0.0074
53,0.2362,255,1079.59,0.0086
54,0.3172,255,803.91,0.0064
55,0.2184,255,1167.58,0.0093
56,0.2197,255,1160.67,0.0093
57,0.3084,255,826.85,0.0066
58,0.2580,255,988.37,0.0079
59,0.3243,255,786.31,0.0063
60,0.2396,255,1064.27,0.0085
61,0.2249,255,1133.84,0.0091
62,0.2423,255,1052.41,0.0084
63,0.2497,255,1021.23,0.0082
64,0.2456,255,1038.27,0.0083
65,0.2381,255,1070.98,0.0086
66,0.2251,255,1132.83,0.0091
67,0.2609,255,977.39,0.0078
68,0.2430,255,1049.38,0.0084
69,0.2384,255,1069.63,0.0086
70,0.2517,255,1013.11,0.0081
71,0.2887,255,883.27,0.0071
72,0.2499,255,1020.41,0.0082
73,0.2441,255,1044.65,0.0084
74,0.2438,255,1045.94,0.0084
75,0.2490,255,1024.10,0.0082
76,0.2572,255,991.45,0.0079
77,0.2594,255,983.04,0.0079
78,0.2338,255,1090.68,0.0087
79,0.2408,255,1058.97,0.0085
80,0.2557,255,997.26,0.0080
81,0.2316,255,1101.04,0.0088
82,0.2178,255,1170.80,0.0094
83,0.2330,255,1094.42,0.0088
84,0.2231,255,1142.99,0.0091
85,0.3065,255,831.97,0.0067
86,0.2511,255,1015.53,0.0081
87,0.2239,255,1138.90,0.0091
88,0.2473,255,1031.14,0.0082
89,0.2520,255,1011.90,0.0081
90,0.2273,255,1121.87,0.0090
91,0.2250,255,1133.33,0.0091
92,0.2330,255,1094.42,0.0088
93,0.2566,255,993.76,0.0080
94,0.2416,255,1055.46,0.0084
95,0.2198,255,1160.15,0.0093
96,0.2344,255,1087.88,0.0087
97,0.2226,255,1145.55,0.0092
98,0.2511,255,1015.53,0.0081
99,0.2453,255,1039.54,0.0083
100,0.2298,255,1109.66,0.0089
101,0.2351,255,1084.64,0.0087
102,0.2766,255,921.91,0.0074
103,0.2503,255,1018.78,0.0082
104,0.2423,255,1052.41,0.0084
105,0.2635,255,967.74,0.0077
106,0.2445,255,1042.94,0.0083
107,0.2529,255,1008.30,0.0081
108,0.2276,255,1120.39,0.0090
109,0.2962,255,860.90,0.0069
110,0.2339,255,1090.21,0.0087
111,0.2763,255,922.91,0.0074
112,0.2341,255,1089.28,0.0087
113,0.2444,255,1043.37,0.0083
114,0.2365,255,1078.22,0.0086
115,0.3096,255,823.64,0.0066
116,0.2705,255,942.70,0.0075
117,0.2483,255,1026.98,0.0082
118,0.2233,255,1141.96,0.0091
119,0.2194,255,1162.26,0.0093
120,0.2310,255,1103.90,0.0088
121,0.2701,255,944.09,0.0076
122,0.2432,255,1048.52,0.0084
123,0.2573,255,991.06,0.0079
124,0.2593,255,983.42,0.0079
125,0.2340,255,1089.74,0.0087
126,0.3119,255,817.57,0.0065
127,0.2231,255,1142.99,0.0091
128,0.3258,255,782.69,0.0063
129,0.2307,255,1105.33,0.0088
130,0.2343,255,1088.35,0.0087
131,0.2357,255,1081.88,0.0087
132,0.2490,255,1024.10,0.0082
133,0.2153,255,1184.39,0.0095
134,0.2316,255,1101.04,0.0088
135,0.2844,255,896.62,0.0072
136,0.2359,255,1080.97,0.0086
137,0.2634,255,968.11,0.0077
138,0.2461,255,1036.16,0.0083
139,0.2441,255,1044.65,0.0084
140,0.2380,255,1071.43,0.0086
141,0.2422,255,1052.85,0.0084
142,0.2507,255,1017.15,0.0081
143,0.2234,255,1141.45,0.0091
144,0.2369,255,1076.40,0.0086
145,0.2259,255,1128.82,0.0090
146,0.3228,255,789.96,0.0063
147,0.2524,255,1010.30,0.0081
148,0.2852,255,894.11,0.0072
149,0.2224,255,1146.58,0.0092
150,0.3229,255,789.72,0.0063
151,0.2302,255,1107.73,0.0089
152,0.2203,255,1157.51,0.0093
153,0.2493,255,1022.86,0.0082
154,0.2247,255,1134.85,0.0091
155,0.3306,255,771.32,0.0062
156,0.3322,255,767.61,0.0061
157,0.2193,255,1162.79,0.0093
158,0.2431,255,1048.95,0.0084
159,0.2659,255,959.01,0.0077
160,0.2361,255,1080.05,0.0086
161,0.2526,255,1009.50,0.0081
162,0.2357,255,1081.88,0.0087
163,0.2567,255,993.38,0.0079
164,0.2828,255,901.70,0.0072
165,0.2625,255,971.43,0.0078
166,0.2482,255,1027.40,0.0082
167,0.3548,255,718.71,0.0057
168,0.2466,255,1034.06,0.0083
169,0.2372,255,1075.04,0.0086
170,0.2405,255,1060.29,0.0085
171,0.2551,255,999.61,0.0080
172,0.2309,255,1104.37,0.0088
173,0.2290,255,1113.54,0.0089
174,0.2265,255,1125.83,0.0090
175,0.2574,255,990.68,0.0079
176,0.2841,255,897.57,0.0072
