run,latency_s,bytes,throughput_bps
1,0.2044,512,2504.89
2,0.2375,512,2155.79
3,0.2423,512,2113.08
4,0.2677,512,1912.59
5,0.2621,512,1953.45
6,0.2229,512,2296.99
7,0.2097,512,2441.58
8,0.2179,512,2349.70
9,0.3347,512,1529.73
10,0.2268,512,2257.50
11,0.2534,512,2020.52
12,0.2222,512,2304.23
13,0.2266,512,2259.49
14,0.2290,512,2235.81
15,0.2384,512,2147.65
16,0.2354,512,2175.02
17,0.2260,512,2265.49
18,0.2369,512,2161.25
19,0.2111,512,2425.39
20,0.2335,512,2192.72
21,0.2358,512,2171.33
22,0.2819,512,1816.25
23,0.2394,512,2138.68
24,0.2222,512,2304.23
25,0.2320,512,2206.90
26,0.2581,512,1983.73
27,0.2566,512,1995.32
28,0.3716,512,1377.83
29,0.2513,512,2037.41
30,0.2374,512,2156.70
31,0.2327,512,2200.26
32,0.2282,512,2243.65
33,0.2471,512,2072.04
34,0.2319,512,2207.85
35,0.2248,512,2277.58
36,0.2272,512,2253.52
37,0.2247,512,2278.59
38,0.2382,512,2149.45
39,0.2421,512,2114.83
40,0.2619,512,1954.94
41,0.2240,512,2285.71
42,0.2269,512,2256.50
43,0.2257,512,2268.50
44,0.2290,512,2235.81
45,0.2295,512,2230.94
46,0.2425,512,2111.34
47,0.2167,512,2362.71
48,0.2263,512,2262.48
49,0.2390,512,2142.26
50,0.2250,512,2275.56
