run,latency_s,bytes,throughput_bps
1,0.3886,512,1317.55
2,0.2448,512,2091.50
3,0.3507,512,1459.94
4,0.2321,512,2205.95
5,0.2640,512,1939.39
6,0.2626,512,1949.73
7,0.2302,512,2224.15
8,0.2421,512,2114.83
9,0.3086,512,1659.11
10,0.2431,512,2106.13
11,0.2685,512,1906.89
12,0.3128,512,1636.83
13,0.2499,512,2048.82
14,0.2303,512,2223.19
15,0.2394,512,2138.68
16,0.2483,512,2062.02
17,0.2621,512,1953.45
18,0.2300,512,2226.09
19,0.2367,512,2163.08
20,0.2345,512,2183.37
21,0.2389,512,2143.16
22,0.2351,512,2177.80
23,0.3044,512,1682.00
24,0.2191,512,2336.83
25,0.2199,512,2328.33
26,0.2272,512,2253.52
27,0.2362,512,2167.65
28,0.2548,512,2009.42
29,0.2228,512,2298.03
30,0.2238,512,2287.76
31,0.2270,512,2255.51
32,0.2564,512,1996.88
33,0.2204,512,2323.05
34,0.2620,512,1954.20
35,0.2988,512,1713.52
36,0.2308,512,2218.37
37,0.2187,512,2341.11
38,0.2275,512,2250.55
39,0.2411,512,2123.60
40,0.2522,512,2030.13
41,0.2483,512,2062.02
42,0.2647,512,1934.27
43,0.2510,512,2039.84
44,0.2444,512,2094.93
45,0.3060,512,1673.20
46,0.2278,512,2247.59
47,0.2319,512,2207.85
48,0.2400,512,2133.33
49,0.2349,512,2179.65
50,0.2347,512,2181.51
