run,time_total_seconds,size_download_bytes,throughput_bps
1,0.2600,255,980.77,0.0078
2,0.2589,255,984.94,0.0079
3,0.2474,255,1030.72,0.0082
4,0.2453,255,1039.54,0.0083
5,0.2819,255,904.58,0.0072
6,0.2748,255,927.95,0.0074
7,0.3496,255,729.41,0.0058
8,0.2462,255,1035.74,0.0083
9,0.2409,255,1058.53,0.0085
10,0.2947,255,865.29,0.0069
11,0.2476,255,1029.89,0.0082
12,0.2193,255,1162.79,0.0093
13,0.2327,255,1095.83,0.0088
14,0.2805,255,909.09,0.0073
15,0.2421,255,1053.28,0.0084
16,0.2859,255,891.92,0.0071
17,0.2581,255,987.99,0.0079
18,0.2742,255,929.98,0.0074
19,0.3005,255,848.59,0.0068
20,0.2409,255,1058.53,0.0085
21,0.2392,255,1066.05,0.0085
22,0.2566,255,993.76,0.0080
23,0.2461,255,1036.16,0.0083
24,0.3363,255,758.25,0.0061
25,0.2293,255,1112.08,0.0089
26,0.2355,255,1082.80,0.0087
27,0.2696,255,945.85,0.0076
28,0.2485,255,1026.16,0.0082
29,0.2247,255,1134.85,0.0091
30,0.2251,255,1132.83,0.0091
31,0.2596,255,982.28,0.0079
32,0.2464,255,1034.90,0.0083
33,0.2241,255,1137.88,0.0091
34,0.2330,255,1094.42,0.0088
35,0.3150,255,809.52,0.0065
36,0.2475,255,1030.30,0.0082
37,0.2321,255,1098.66,0.0088
38,0.2112,255,1207.39,0.0097
39,0.2257,255,1129.82,0.0090
40,0.2421,255,1053.28,0.0084
41,0.2255,255,1130.82,0.0090
42,0.2240,255,1138.39,0.0091
43,0.2125,255,1200.00,0.0096
44,0.2160,255,1180.56,0.0094
45,0.2406,255,1059.85,0.0085
46,0.2434,255,1047.66,0.0084
47,0.2201,255,1158.56,0.0093
48,0.2327,255,1095.83,0.0088
49,0.2588,255,985.32,0.0079
50,0.2548,255,1000.78,0.0080
51,0.2298,255,1109.66,0.0089
52,0.2301,255,1108.21,0.0089
53,0.2207,255,1155.41,0.0092
54,0.2313,255,1102.46,0.0088
55,0.2840,255,897.89,0.0072
56,0.2267,255,1124.83,0.0090
57,0.2298,255,1109.66,0.0089
58,0.2293,255,1112.08,0.0089
59,0.2435,255,1047.23,0.0084
60,0.2346,255,1086.96,0.0087
61,0.2263,255,1126.82,0.0090
62,0.2227,255,1145.04,0.0092
63,0.2339,255,1090.21,0.0087
64,0.2730,255,934.07,0.0075
65,0.2169,255,1175.66,0.0094
66,0.2205,255,1156.46,0.0093
67,0.2227,255,1145.04,0.0092
68,0.2255,255,1130.82,0.0090
69,0.2542,255,1003.15,0.0080
70,0.2279,255,1118.91,0.0090
71,0.2337,255,1091.14,0.0087
72,0.2395,255,1064.72,0.0085
73,0.2535,255,1005.92,0.0080
74,0.2304,255,1106.77,0.0089
75,0.5787,255,440.64,0.0035
76,0.2273,255,1121.87,0.0090
77,0.2475,255,1030.30,0.0082
78,0.2356,255,1082.34,0.0087
79,0.2634,255,968.11,0.0077
80,0.2181,255,1169.19,0.0094
81,0.2515,255,1013.92,0.0081
82,0.3001,255,849.72,0.0068
83,0.2287,255,1115.00,0.0089
84,0.2211,255,1153.32,0.0092
85,0.2246,255,1135.35,0.0091
86,0.2210,255,1153.85,0.0092
87,0.2555,255,998.04,0.0080
88,0.2241,255,1137.88,0.0091
89,0.2196,255,1161.20,0.0093
90,0.2456,255,1038.27,0.0083
91,0.2373,255,1074.59,0.0086
92,0.2436,255,1046.80,0.0084
93,0.2131,255,1196.62,0.0096
94,0.2309,255,1104.37,0.0088
95,0.2550,255,1000.00,0.0080
96,0.2690,255,947.96,0.0076
97,0.2271,255,1122.85,0.0090
98,0.2161,255,1180.01,0.0094
99,0.2398,255,1063.39,0.0085
100,0.2171,255,1174.57,0.0094
101,0.2522,255,1011.10,0.0081
102,0.2314,255,1101.99,0.0088
103,0.2208,255,1154.89,0.0092
104,0.2239,255,1138.90,0.0091
105,0.2279,255,1118.91,0.0090
106,0.2450,255,1040.82,0.0083
107,0.2207,255,1155.41,0.0092
108,0.2394,255,1065.16,0.0085
109,0.2289,255,1114.02,0.0089
110,0.2461,255,1036.16,0.0083
111,0.2342,255,1088.81,0.0087
112,0.2273,255,1121.87,0.0090
