run,latency_s,bytes,throughput_bps
1,0.2044,512,2504.89
2,0.2117,512,2418.52
3,0.2216,512,2310.47
4,0.2463,512,2078.77
5,0.2516,512,2034.98
6,0.2489,512,2057.05
7,0.3138,512,1631.61
8,0.2202,512,2325.16
9,0.2217,512,2309.43
10,0.2250,512,2275.56
11,0.2310,512,2216.45
12,0.2116,512,2419.66
13,0.2355,512,2174.10
14,0.2595,512,1973.03
15,0.2383,512,2148.55
16,0.3642,512,1405.82
17,0.2600,512,1969.23
18,0.2641,512,1938.66
19,0.2419,512,2116.58
20,0.2514,512,2036.60
21,0.2513,512,2037.41
22,0.2794,512,1832.50
23,0.2273,512,2252.53
24,0.2265,512,2260.49
25,0.2212,512,2314.65
26,0.2223,512,2303.19
27,0.2360,512,2169.49
28,0.2531,512,2022.92
29,0.2258,512,2267.49
30,0.2520,512,2031.75
31,0.2280,512,2245.61
32,0.2326,512,2201.20
33,0.2350,512,2178.72
34,0.2474,512,2069.52
35,0.2234,512,2291.85
36,0.3127,512,1637.35
37,0.2296,512,2229.97
38,0.2782,512,1840.40
39,0.2433,512,2104.40
40,0.2593,512,1974.55
41,0.2228,512,2298.03
42,0.2532,512,2022.12
43,0.2206,512,2320.94
44,0.2233,512,2292.88
45,0.2174,512,2355.11
46,0.2391,512,2141.36
47,0.2348,512,2180.58
48,0.2242,512,2283.68
49,0.2337,512,2190.84
50,0.3535,512,1448.37
